系统名称,交换机型号,IP地址,提取时间,是否刷入802.1x,ip route-static
S5720-52X-LI,S5720-52X-LI,10.3.1.95,2025-12-04 17:42:29,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-52X-LI,S5720-52X-LI,10.3.1.96,2025-12-04 17:42:38,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.84,2025-12-04 17:41:21,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.137,2025-12-04 17:45:35,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.138,2025-12-04 17:45:35,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.139,2025-12-04 17:45:41,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.140,2025-12-04 17:45:41,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.154,2025-12-04 17:46:49,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-28X-PWR-LI,S5720S-28X-PWR-LI,10.3.1.186,2025-12-04 17:48:31,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28P-LI,S5720-28P-LI,10.3.1.193,2025-12-04 17:49:00,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.155,2025-12-04 17:46:47,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5700-52P-LI,S5700-52P-LI,10.3.1.189,2025-12-04 17:48:29,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.2.24,2025-12-04 17:53:53,未刷入,未查询到
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.132,2025-12-04 17:45:17,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.131,2025-12-04 17:45:14,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.134,2025-12-04 17:45:23,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.129,2025-12-04 17:45:05,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.128,2025-12-04 17:44:59,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.135,2025-12-04 17:45:23,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.80,2025-12-04 17:41:16,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-52X-LI,S5720-52X-LI,10.3.1.76,2025-12-04 17:41:01,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-52X-LI,S5720-52X-LI,10.3.1.77,2025-12-04 17:41:08,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-52X-LI,S5720-52X-LI,10.3.1.78,2025-12-04 17:41:10,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L48P4X-A1,S5735S-L48P4X-A1,10.3.1.201,2025-12-04 17:49:38,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L48P4X-A1,S5735S-L48P4X-A1,10.3.1.202,2025-12-04 17:49:45,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L48P4X-A1,S5735S-L48P4X-A1,10.3.1.203,2025-12-04 17:49:47,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L48P4X-A1,S5735S-L48P4X-A1,10.3.1.200,2025-12-04 17:49:38,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.116,2025-12-04 17:44:18,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-PWR-LI,S5720-28X-PWR-LI,10.3.1.117,2025-12-04 17:44:24,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.1.24,2025-12-04 17:37:21,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-28X-SI,S5720S-28X-SI,10.3.1.198,2025-12-04 17:49:16,domain sangfor_802.1x,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
